SNP_ID	DiseaseTrait
rs1754528	No associated clinical information for this SNP
rs595056	No associated clinical information for this SNP
rs515493	No associated clinical information for this SNP
rs1854508	No associated clinical information for this SNP
rs17451521	No associated clinical information for this SNP
rs485090	No associated clinical information for this SNP
rs17114981	No associated clinical information for this SNP
rs490765	No associated clinical information for this SNP
rs11206973	Height
rs3768171	No associated clinical information for this SNP
rs3768168	No associated clinical information for this SNP
rs510824	No associated clinical information for this SNP
rs484064	No associated clinical information for this SNP
rs550511	No associated clinical information for this SNP
rs17115220	No associated clinical information for this SNP
rs10889026	No associated clinical information for this SNP
rs7530049	No associated clinical information for this SNP
rs155312	No associated clinical information for this SNP
rs264036	No associated clinical information for this SNP
rs17485175	No associated clinical information for this SNP
rs17115445	No associated clinical information for this SNP
rs548897	Educational attainment (years of education)
rs584147	No associated clinical information for this SNP
rs12566162	No associated clinical information for this SNP
rs12401342	No associated clinical information for this SNP
rs12087888	No associated clinical information for this SNP
rs11207011	No associated clinical information for this SNP
rs12119210	No associated clinical information for this SNP
rs10889038	No associated clinical information for this SNP
rs269045	No associated clinical information for this SNP
rs12137169	No associated clinical information for this SNP
rs17115765	No associated clinical information for this SNP
rs17115796	No associated clinical information for this SNP
rs2691437	No associated clinical information for this SNP
rs2793626	No associated clinical information for this SNP
rs2793641	No associated clinical information for this SNP
rs10493230	No associated clinical information for this SNP
rs11207069	No associated clinical information for this SNP
rs1341322	No associated clinical information for this SNP
rs12045520	No associated clinical information for this SNP
rs10889061	No associated clinical information for this SNP
rs3131754	No associated clinical information for this SNP
rs3126020	No associated clinical information for this SNP
rs4912277	No associated clinical information for this SNP
rs3131729	No associated clinical information for this SNP
rs1886139	No associated clinical information for this SNP
