SNP_ID	Chromosome_Number	Chromosome_Position	Genes	DiseaseTrait
rs1983299	1	64281098	No gene information found	No associated clinical information for this SNP
rs705559	1	64287188	No gene information found	No associated clinical information for this SNP
rs705571	1	64308534	No gene information found	No associated clinical information for this SNP
rs705575	1	64310574	No gene information found	No associated clinical information for this SNP
rs1496016	1	64326709	No gene information found	No associated clinical information for this SNP
rs1390475	1	64335126	No gene information found	No associated clinical information for this SNP
rs1390473	1	64338696	No gene information found	No associated clinical information for this SNP
rs17126437	1	64345477	No gene information found	No associated clinical information for this SNP
rs11208446	1	64402669	No gene information found	Bilirubin levels
rs12128329	1	64460208	No gene information found	No associated clinical information for this SNP
rs2484245	1	64467505	No gene information found	No associated clinical information for this SNP
rs305578	1	64510403	CACHD1	No associated clinical information for this SNP
rs1436750	1	64577868	CACHD1	No associated clinical information for this SNP
rs1436748	1	64591463	CACHD1	No associated clinical information for this SNP
rs17126742	1	64600030	CACHD1	No associated clinical information for this SNP
rs1561168	1	64649636	CACHD1	No associated clinical information for this SNP
rs12046636	1	64697151	No gene information found	No associated clinical information for this SNP
rs7539994	1	64699168	No gene information found	No associated clinical information for this SNP
rs11799558	1	64714780	No gene information found	No associated clinical information for this SNP
rs7530486	1	64717143	No gene information found	No associated clinical information for this SNP
rs7354831	1	64734882	No gene information found	No associated clinical information for this SNP
rs6676160	1	64756159	RAVER2	No associated clinical information for this SNP
rs3790528	1	64787594	RAVER2	No associated clinical information for this SNP
rs12024798	1	64788091	RAVER2	No associated clinical information for this SNP
rs310244	1	64840194	JAK1	Platelet count
rs310245	1	64840499	JAK1	No associated clinical information for this SNP
rs2780894	1	64843693	JAK1	No associated clinical information for this SNP
rs310219	1	64849615	JAK1	No associated clinical information for this SNP
rs310225	1	64859000	JAK1	No associated clinical information for this SNP
rs2256298	1	64864999	JAK1	No associated clinical information for this SNP
rs11208545	1	64933198	JAK1	No associated clinical information for this SNP
rs17127171	1	64946577	JAK1	No associated clinical information for this SNP
rs17127211	1	65001864	JAK1;LINC01359	No associated clinical information for this SNP
rs11208574	1	65042741	JAK1	No associated clinical information for this SNP
rs478665	1	65049850	JAK1	Estradiol plasma levels (breast cancer)
rs6673673	1	65081241	No gene information found	No associated clinical information for this SNP
rs17127323	1	65105629	No gene information found	No associated clinical information for this SNP
rs12401887	1	65160069	AK4	No associated clinical information for this SNP
rs12030227	1	65178503	AK4	No associated clinical information for this SNP
rs12119363	1	65211984	AK4	No associated clinical information for this SNP
rs17127415	1	65228929	AK4	No associated clinical information for this SNP
rs1336472	1	65230247	AK4	Venous thromboembolism (SNP x SNP interaction)
rs1414927	1	65294048	DNAJC6	No associated clinical information for this SNP
rs10399621	1	65299501	DNAJC6	No associated clinical information for this SNP
rs10493374	1	65317548	DNAJC6	No associated clinical information for this SNP
rs11208645	1	65396115	DNAJC6	No associated clinical information for this SNP
rs3818513	1	65408354	DNAJC6	No associated clinical information for this SNP
rs970467	1	65441079	LEPR	No associated clinical information for this SNP
rs2025805	1	65484195	LEPR	No associated clinical information for this SNP
rs1171278	1	65522463	LEPR	No associated clinical information for this SNP
rs12028951	1	65587398	LEPR	No associated clinical information for this SNP
rs1892534	1	65640261	LEPR	Granulocyte count
rs2889195	1	65691047	No gene information found	No associated clinical information for this SNP
rs4655795	1	65693685	No gene information found	No associated clinical information for this SNP
rs7539471	1	65719720	No gene information found	No associated clinical information for this SNP
rs10493384	1	65724369	No gene information found	No associated clinical information for this SNP
rs4593796	1	65754363	No gene information found	No associated clinical information for this SNP
rs12742722	1	65756478	No gene information found	No associated clinical information for this SNP
rs12143459	1	65762796	No gene information found	No associated clinical information for this SNP
rs12131840	1	65766088	No gene information found	No associated clinical information for this SNP
rs11208747	1	65787916	No gene information found	No associated clinical information for this SNP
rs11208748	1	65789266	No gene information found	No associated clinical information for this SNP
rs11208751	1	65793735	PDE4B	No associated clinical information for this SNP
rs11208755	1	65803383	PDE4B	No associated clinical information for this SNP
rs11208756	1	65803628	PDE4B	No associated clinical information for this SNP
rs10889584	1	65807607	PDE4B	Highest math class taken
rs12061146	1	65820575	PDE4B	No associated clinical information for this SNP
rs12739892	1	65838884	PDE4B	No associated clinical information for this SNP
rs10493388	1	65842968	PDE4B	No associated clinical information for this SNP
rs17128040	1	65843042	PDE4B	No associated clinical information for this SNP
rs17128123	1	65914659	PDE4B	No associated clinical information for this SNP
rs17451451	1	65922470	PDE4B	No associated clinical information for this SNP
rs4503327	1	65941124	PDE4B	Major depressive disorder or stress-related disorder
rs7527901	1	65947077	PDE4B	Weight
rs1937456	1	65951064	PDE4B	Height
rs12757542	1	66030425	PDE4B	No associated clinical information for this SNP
rs10158178	1	66093490	PDE4B	No associated clinical information for this SNP
rs680925	1	66117438	PDE4B	No associated clinical information for this SNP
rs17421832	1	66120279	PDE4B	No associated clinical information for this SNP
rs11208807	1	66169238	PDE4B	No associated clinical information for this SNP
rs544361	1	66217769	PDE4B	No associated clinical information for this SNP
rs12032117	1	66240288	PDE4B	No associated clinical information for this SNP
rs17424885	1	66246439	PDE4B	Adolescent idiopathic scoliosis
rs517669	1	66262480	PDE4B	No associated clinical information for this SNP
rs12030788	1	66302446	PDE4B	No associated clinical information for this SNP
rs1890195	1	66330695	PDE4B	No associated clinical information for this SNP
rs4655836	1	66353220	PDE4B	No associated clinical information for this SNP
rs598961	1	66353940	PDE4B	No associated clinical information for this SNP
rs783062	1	66380821	No gene information found	No associated clinical information for this SNP
rs1999856	1	66391341	No gene information found	No associated clinical information for this SNP
rs945969	1	66396809	No gene information found	No associated clinical information for this SNP
rs12140647	1	66439458	No gene information found	No associated clinical information for this SNP
rs10493405	1	66455194	No gene information found	No associated clinical information for this SNP
rs12116697	1	66455689	No gene information found	Neurofibrillary tangles (SNP x SNP interaction)
rs699252	1	66475517	No gene information found	No associated clinical information for this SNP
rs6694790	1	66478098	No gene information found	No associated clinical information for this SNP
rs11208877	1	66489241	No gene information found	No associated clinical information for this SNP
rs765685	1	66499792	No gene information found	No associated clinical information for this SNP
rs17432003	1	66501712	No gene information found	No associated clinical information for this SNP
rs12093875	1	66522718	No gene information found	No associated clinical information for this SNP
rs2068381	1	66546505	SGIP1	No associated clinical information for this SNP
rs1338188	1	66564179	SGIP1	No associated clinical information for this SNP
rs1867631	1	66580443	SGIP1	Menopause (age at onset)
rs12023176	1	66597848	SGIP1	No associated clinical information for this SNP
rs6588212	1	66621198	SGIP1	No associated clinical information for this SNP
rs1570814	1	66659260	SGIP1	No associated clinical information for this SNP
rs12094526	1	66660431	SGIP1	No associated clinical information for this SNP
rs6689451	1	66677169	SGIP1	No associated clinical information for this SNP
rs3738167	1	66705583	SGIP1	No associated clinical information for this SNP
rs510771	1	66712963	SGIP1	No associated clinical information for this SNP
rs604737	1	66743405	SGIP1	No associated clinical information for this SNP
